Date(UTC),UnixTimeStamp,Gas Used nAvax,Month,Year,Transactions,Gas Used Avax,,,,,,,,,
7/27/21,1627344000,2183042872,July,2021,12834,2.183042872,,,,,,,,,
7/28/21,1627430400,2360532146,July,2021,13546,2.360532146,,,,,,,,,
7/29/21,1627516800,2699027393,July,2021,18600,2.699027393,,,,,,,,,
7/30/21,1627603200,2261207530,July,2021,16742,2.26120753,,,,,,,,,
7/31/21,1627689600,1728835160,July,2021,11131,1.72883516,,,,,,,,,
8/1/21,1627776000,1931939210,August,2021,12568,1.93193921,,,,,,,,,
8/2/21,1627862400,2143899249,August,2021,12851,2.143899249,,,,,,,,,
8/3/21,1627948800,2058570565,August,2021,12456,2.058570565,,,,,,,,,
8/4/21,1628035200,1845465263,August,2021,11002,1.845465263,,,,,,,,,
8/5/21,1628121600,1774762631,August,2021,10640,1.774762631,,,,,,,,,
8/6/21,1628208000,2187172268,August,2021,12983,2.187172268,,,,,,,,,
8/7/21,1628294400,1934720656,August,2021,11402,1.934720656,,,,,,,,,
8/8/21,1628380800,1597882524,August,2021,9513,1.597882524,,,,,,,,,
8/9/21,1628467200,2338954376,August,2021,13495,2.338954376,,,,,,,,,
8/10/21,1628553600,6245133239,August,2021,26077,6.245133239,,,,,,,,,
8/11/21,1628640000,19282268189,August,2021,37938,19.28226819,,,,,,,,,
8/12/21,1628726400,9641421005,August,2021,18069,9.641421005,,,,,,,,,
8/13/21,1628812800,5191258662,August,2021,17154,5.191258662,,,,,,,,,
8/14/21,1628899200,3280054943,August,2021,13380,3.280054943,,,,,,,,,
8/15/21,1628985600,2841745516,August,2021,12489,2.841745516,,,,,,,,,
8/16/21,1629072000,4333047947,August,2021,23271,4.333047947,,,,,,,,,
8/17/21,1629158400,5737115556,August,2021,34237,5.737115556,,,,,,,,,
8/18/21,1629244800,6752455126,August,2021,41500,6.752455126,,,,,,,,,
8/19/21,1629331200,12445030318,August,2021,84427,12.44503032,,,,,,,,,
8/20/21,1629417600,13710003896,August,2021,91288,13.7100039,,,,,,,,,
8/21/21,1629504000,23466159842,August,2021,169718,23.46615984,,,,,,,,,
8/22/21,1629590400,13814069764,August,2021,102298,13.81406976,,,,,,,,,
8/23/21,1629676800,18866592155,August,2021,134848,18.86659216,,,,,,,,,
8/24/21,1629763200,22183893426,August,2021,157854,22.18389343,,,,,,,,,
8/25/21,1629849600,31278144786,August,2021,217288,31.27814479,,,,,,,,,
8/26/21,1629936000,29857507786,August,2021,184544,29.85750779,,,,,,,,,
8/27/21,1630022400,34565683373,August,2021,229933,34.56568337,,,,,,,,,
8/28/21,1630108800,28778986910,August,2021,188017,28.77898691,,,,,,,,,
8/29/21,1630195200,25536276295,August,2021,160770,25.5362763,,,,,,,,,
8/30/21,1630281600,23977550368,August,2021,160024,23.97755037,,,,,,,,,
8/31/21,1630368000,18108767978,August,2021,115195,18.10876798,,,,,,,,,
9/1/21,1630454400,17690351363,September,2021,116300,17.69035136,,,,,,,,,
9/2/21,1630540800,23616859688,September,2021,151844,23.61685969,,,,,,,,,
9/3/21,1630627200,19161539910,September,2021,118303,19.16153991,,,,,,,,,
9/4/21,1630713600,16790443189,September,2021,96303,16.79044319,,,,,,,,,
9/5/21,1630800000,14739170664,September,2021,84631,14.73917066,,,,,,,,,
9/6/21,1630886400,20139283727,September,2021,131288,20.13928373,,,,,,,,,
9/7/21,1630972800,21793523532,September,2021,130402,21.79352353,,,,,,,,,
9/8/21,1631059200,19496521784,September,2021,125793,19.49652178,,,,,,,,,
9/9/21,1631145600,24448732826,September,2021,131821,24.44873283,,,,,,,,,
9/10/21,1631232000,34016271393,September,2021,169551,34.01627139,,,,,,,,,
9/11/21,1631318400,31509781394,September,2021,186079,31.50978139,,,,,,,,,
9/12/21,1631404800,31900479230,September,2021,215451,31.90047923,,,,,,,,,
9/13/21,1631491200,24760139615,September,2021,154903,24.76013962,,,,,,,,,
9/14/21,1631577600,22633416910,September,2021,144660,22.63341691,,,,,,,,,
9/15/21,1631664000,32913948882,September,2021,192639,32.91394888,,,,,,,,,
