Date(UTC),UnixTimeStamp,Block Count,Block Size,Block Time,Month,Year,,,,,,,
4/13/21,1618272000,17280,2021,5,April,2021,,,,,,,
4/14/21,1618358400,17271,2347,5,April,2021,,,,,,,
4/15/21,1618444800,17280,3569,5,April,2021,,,,,,,
4/16/21,1618531200,17272,5932,5,April,2021,,,,,,,
4/17/21,1618617600,17280,1655,5,April,2021,,,,,,,
4/18/21,1618704000,17280,1950,5,April,2021,,,,,,,
4/19/21,1618790400,17280,2715,5,April,2021,,,,,,,
4/20/21,1618876800,17267,6498,5,April,2021,,,,,,,
4/21/21,1618963200,17280,5818,5,April,2021,,,,,,,
4/22/21,1619049600,17273,5408,5,April,2021,,,,,,,
4/23/21,1619136000,17274,4286,5,April,2021,,,,,,,
4/24/21,1619222400,17279,2956,5,April,2021,,,,,,,
4/25/21,1619308800,17280,4199,5,April,2021,,,,,,,
4/26/21,1619395200,17279,4018,5,April,2021,,,,,,,
4/27/21,1619481600,17279,4183,5,April,2021,,,,,,,
4/28/21,1619568000,17280,3824,5,April,2021,,,,,,,
4/29/21,1619654400,17279,3336,5,April,2021,,,,,,,
4/30/21,1619740800,17280,3316,5,April,2021,,,,,,,
5/1/21,1619827200,17280,3583,5,May,2021,,,,,,,
5/2/21,1619913600,17280,3217,5,May,2021,,,,,,,
5/3/21,1620000000,17278,3486,5,May,2021,,,,,,,
5/4/21,1620086400,17268,3656,5,May,2021,,,,,,,
5/5/21,1620172800,17280,3399,5,May,2021,,,,,,,
5/6/21,1620259200,17279,3642,5,May,2021,,,,,,,
5/7/21,1620345600,17276,3389,5,May,2021,,,,,,,
5/8/21,1620432000,17280,2283,5,May,2021,,,,,,,
5/9/21,1620518400,17280,1273,5,May,2021,,,,,,,
5/10/21,1620604800,17280,1126,5,May,2021,,,,,,,
5/11/21,1620691200,17279,1579,5,May,2021,,,,,,,
5/12/21,1620777600,17279,1246,5,May,2021,,,,,,,
5/13/21,1620864000,17280,1300,5,May,2021,,,,,,,
5/14/21,1620950400,17280,1176,5,May,2021,,,,,,,
5/15/21,1621036800,17280,1141,5,May,2021,,,,,,,
5/16/21,1621123200,17279,1150,5,May,2021,,,,,,,
5/17/21,1621209600,17280,1496,5,May,2021,,,,,,,
5/18/21,1621296000,17279,1679,5,May,2021,,,,,,,
5/19/21,1621382400,17280,1412,5,May,2021,,,,,,,
5/20/21,1621468800,17280,1305,5,May,2021,,,,,,,
5/21/21,1621555200,17280,1309,5,May,2021,,,,,,,
5/22/21,1621641600,17280,1116,5,May,2021,,,,,,,
5/23/21,1621728000,17280,1214,5,May,2021,,,,,,,
5/24/21,1621814400,17280,1258,5,May,2021,,,,,,,
5/25/21,1621900800,17279,1586,5,May,2021,,,,,,,
5/26/21,1621987200,17280,1258,5,May,2021,,,,,,,
5/27/21,1622073600,17280,1193,5,May,2021,,,,,,,
5/28/21,1622160000,17280,1134,5,May,2021,,,,,,,
5/29/21,1622246400,17280,1119,5,May,2021,,,,,,,
5/30/21,1622332800,17280,1039,5,May,2021,,,,,,,
5/31/21,1622419200,17280,1065,5,May,2021,,,,,,,
6/1/21,1622505600,17279,1416,5,June,2021,,,,,,,
6/2/21,1622592000,17280,1060,5,June,2021,,,,,,,
6/3/21,1622678400,17280,1058,5,June,2021,,,,,,,
6/4/21,1622764800,17280,1067,5,June,2021,,,,,,,
6/5/21,1622851200,17280,1009,5,June,2021,,,,,,,
6/6/21,1622937600,17280,975,5,June,2021,,,,,,,
6/7/21,1623024000,17280,1039,5,June,2021,,,,,,,
6/8/21,1623110400,17280,1477,5,June,2021,,,,,,,
6/9/21,1623196800,17280,1071,5,June,2021,,,,,,,
